11782	13171	255.371	903.239	255.369	58.2212	57.807	-0.763823	1	1	1	1	1	-198.489	-319.244	131.428	-64.2523	-547.747	-438.27	-198.489	-255.529	-319.244	131.428	33.1258	-64.2523	-547.747	-489.676	-438.27	5.5183	10	0	86.889	60.427	-6.11794	650.774	60.427	-6.11794	650.774	
11786	14299	347.426	846.844	342.069	-99999	10.014	-0.881787	1	1	1	1	1	-248.639	-269.129	133.351	-169.63	726.828	884.209	-248.65	-258.673	-269.534	133.351	-20.7079	-174.5	726.828	806.411	886.385	5.16992	14	0	49.6652	10.0445	-20.3636	769.334	10.0445	-20.3636	769.334	
11772	7001	275.031	671.263	274.859	-99999	99.937	-0.911366	1	1	1	1	1	-189.458	-196.275	130.947	-136.154	-477.179	-522.67	-158.163	-158.096	-164.998	130.947	-3.39205	-136.188	-477.179	-501.447	-522.673	4.10427	7	0	72.6083	99.9566	-24.8914	-508.037	99.9566	-24.8914	-508.037	
11786	25116	80.5898	216.446	79.3755	-99999	99.493	-0.805172	1	1	0	0	0	-140.489	-92.589	131.537	68.4663	-75.654	-70.5925	-110.051	-85.8713	-61.4333	132.515	100.353	68.4663	-75.6886	-73.5712	-70.5925	18.8131	7	0	80.3224	99.7155	29.1137	-76.9365	99.7155	29.1137	-76.9365	
11795	5767	63.8664	389.11	63.1538	-99999	97.955	-0.843426	1	1	1	0	0	-118.297	-148.161	93.4355	39.9031	893.486	878.432	-87.2714	-102.869	-117.487	94.0363	67.1147	39.9031	893.638	886.453	878.432	14.105	12	0	194.193	97.9704	-39.0439	810.928	97.9704	-39.0439	810.928	
11786	28251	321.054	1056.22	308.13	-99999	62.982	-0.981044	1	1	1	1	1	-343.868	-279.066	133.866	-166.976	61.2698	75.8714	-343.94	-310.278	-275.749	133.866	-22.8731	-179.319	61.2698	69.081	76.8174	7.26118	11	0	291.652	62.9981	-18.9944	65.5212	62.9981	-18.9944	65.5212	
11780	9011	166.125	389.518	166.118	-99999	-31.604	-0.969345	1	1	1	1	1	-281.71	-321.577	133.624	-11.7877	-158.743	-97.4703	-281.673	-292.906	-321.54	133.624	55.244	-11.7877	-158.743	-134.152	-97.4703	4.63753	15	0	74.6046	-31.581	6.63065	-122.929	-31.581	6.63065	-122.929	
11780	11081	162.307	425.876	162.205	383.487	-23.88	-0.800274	0	0	0	0	0	-155.169	-252.653	132.97	9.94753	372.01	411.08	-155.124	-203.886	-252.653	133.041	72.5957	9.94753	371.981	395.025	411.08	7.13584	7	0	90.9019	-999999	-999999	-999999	-999999	-999999	-999999	
11774	3047	60.8858	248.311	55.5188	-99999	63.542	-0.731352	1	1	0	0	0	-92.2542	-81.953	-38.1434	-77.3691	-894.321	-856.64	-72.6261	-66.5628	-60.4995	-37.156	-58.1829	-78.402	-895.192	-874.207	-853.553	8.19194	14	0	154.441	63.5475	-60.2803	-790.829	63.5475	-60.2803	-790.829	
11775	6831	328.447	836.882	328.411	-99999	35.846	-0.925041	1	1	1	1	1	-111.216	-72.6016	133.71	-167.24	20.3231	-104.996	-99.9911	-81.7334	-61.3767	133.71	-16.5497	-167.24	20.3231	-43.0015	-104.996	5.91232	13	0	68.7045	35.8749	-21.603	-48.8242	35.8749	-21.603	-48.8242	
11797	21897	202.318	561.286	200.35	-99999	-24.048	-0.995196	0	0	0	0	0	-172.156	-197.148	134.329	-61.3628	-50.4596	-51.3403	-179.651	-183.037	-205.435	134.889	34.0421	-62.4306	-50.409	-49.6234	-51.5556	6.79677	8	0	122.108	-23.1817	-16.2356	321.417	-23.1817	-16.2356	321.417	
11780	616	210.826	525.36	206.096	68.8969	69.275	-0.961628	1	1	1	1	0	-192.846	-221.518	125.855	-73.28	832.233	873.761	-192.493	-208.018	-221.518	130.397	28.2804	-73.28	830.981	850.942	873.761	8.88632	9	0	84.0437	69.2994	-9.56241	795.13	69.2994	-9.56241	795.13	
11797	58714	86.2218	295.875	86.1296	-99999	60.719	-0.48911	1	1	0	0	0	-186.484	-154.579	129.977	81.7381	316.866	380.149	-167.51	-150.188	-135.565	130.021	105.741	81.7381	316.799	347.803	380.149	4.85882	6	0	131.161	60.7588	30.3957	369.817	60.7588	30.3957	369.817	
11782	6264	583.007	1543.69	580.246	-99999	8.547	-0.542857	1	1	1	1	1	-285.516	-293.092	133.03	-163.583	-251.501	-743.086	-285.358	-288.152	-293.123	133.873	-14.8646	-163.646	-250.224	-495.085	-743.981	4.02712	19	0	112.158	8.59968	-27.508	-505.161	8.59968	-27.508	-505.161	
11786	29316	155.186	404.885	153.914	-99999	61.377	-0.772869	1	1	1	0	0	-180.322	-80.6609	128.642	11.5538	-763.059	-768.871	-161.852	-110.921	-61.3903	129.557	71.0952	11.4904	-762.946	-765.363	-768.872	5.94369	6	0	62.5952	61.3947	15.2215	-763.479	61.3947	15.2215	-763.479	
11786	28597	178.456	489.344	177.788	-99999	62.158	-0.990328	1	1	1	1	1	-236.903	-258.855	132.058	-44.112	246.674	253.616	-236.904	-248.111	-258.945	132.595	44.1238	-44.2318	246.663	248.824	253.619	5.25428	8	0	77.4744	62.1847	-6.36171	253.733	62.1847	-6.36171	253.733	
