549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	0.318603	12.8081
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	0.955808	0.811921
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	1.5483	6.35082
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	1.56406	7.69476
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	1.61814	10.9529
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	1.65121	6.15879
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	2.01405	6.17694
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	2.11901	4.62008
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	2.5225	4.72232
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	3.13272	4.04326
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	3.26511	4.00748
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	3.58643	3.88929
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	4.10889	3.2691
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	4.54341	4.56818
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	4.92666	3.93325
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	5.20735	3.95306
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	5.67177	3.37584
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	6.16752	4.30828
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	6.63655	3.93892
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	7.54225	3.39185
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	7.91117	3.72821
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	8.66302	2.4405
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	9.35841	3.83527
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	9.47885	2.98788
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	10.2421	2.91196
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	10.5798	2.64858
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	11.2066	3.1376
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	11.6032	2.92966
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	11.9855	2.72783
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	12.4447	2.19678
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	12.9928	2.5161
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	13.4207	2.64879
549.568	1323.87	273.574	-151.334	80.9463	4.6712	79.8522	13.9115	2.60698
